,setting,PDR
1,22.23.22,96
2,22.23.22,96
3,22.23.22,92
4,22.23.22,96
5,22.23.22,96
6,22.23.22,97
7,22.23.22,97
8,22.23.22,98
9,22.23.22,97
10,22.23.22,96
11,22.23.22,95
12,22.23.22,96
13,22.23.22,94
14,22.23.22,96
15,22.23.22,96
16,22.23.22,96
17,22.23.22,94
18,22.23.22,97
19,22.23.22,97
20,22.23.22,94
21,22.23.22,96
22,22.23.22,97
23,22.23.22,96
24,22.23.22,97
25,22.23.22,93
26,22.23.22,95
27,22.23.22,97
28,22.23.22,93
29,22.23.22,94
30,22.23.22,97
31,22.23.22,98
32,22.23.22,94
33,22.23.22,95
34,22.23.22,95
35,22.23.22,96
36,22.23.22,98
37,22.23.22,98
38,22.23.22,97
39,22.23.22,94
40,22.23.22,97
41,22.23.22,96
42,22.23.22,94
43,22.23.22,96
44,22.23.22,96
45,22.23.22,96
46,22.23.22,96
47,22.23.22,97
48,22.23.22,94
49,22.23.22,95
50,22.23.22,96
51,22.23.22,92
52,22.23.22,91
53,22.23.22,97
54,22.23.22,95
55,22.23.22,95
56,22.23.22,96
57,22.23.22,96
58,22.23.22,94
59,22.23.22,95
60,22.23.22,96
61,22.23.22,95
62,22.23.22,96
63,22.23.22,95
64,22.23.22,97
65,22.23.22,95
66,22.23.22,97
67,22.23.22,94
68,22.23.22,97
69,22.23.22,96
70,22.23.22,97
71,22.23.22,95
72,22.23.22,96
73,22.23.22,98
74,22.23.22,95
75,22.23.22,94
76,22.23.22,96
77,22.23.22,97
78,22.23.22,95
79,22.23.22,94
80,22.23.22,96
81,22.23.22,97
82,22.23.22,96
83,22.23.22,96
84,22.23.22,95
85,22.23.22,96
86,22.23.22,96
87,22.23.22,95
88,22.23.22,91
89,22.23.22,96
90,22.23.22,98
91,22.23.22,97
92,22.23.22,93
93,22.23.22,95
94,22.23.22,97
95,22.23.22,95
96,22.23.22,97
97,22.23.22,96
98,22.23.22,98
99,22.23.22,97
100,22.23.22,96
101,22.23.22,97
102,22.23.22,97
103,22.23.22,94
104,22.23.22,97
105,22.23.22,96
106,22.23.22,95
107,22.23.22,96
108,22.23.22,96
109,22.23.22,97
110,22.23.22,95
111,22.23.22,96
112,22.23.22,97
113,22.23.22,94
114,22.23.22,94
115,22.23.22,95
116,22.23.22,97
117,22.23.22,97
118,22.23.22,98
119,22.23.22,97
120,22.23.22,96
121,22.23.22,97
122,22.23.22,94
123,22.23.22,98
124,22.23.22,95
125,22.23.22,96
126,22.23.22,95
127,22.23.22,96
128,22.23.22,96
129,22.23.22,95
130,22.23.22,96
131,22.23.22,93
132,22.23.22,96
133,22.23.22,99
134,22.23.22,95
135,22.23.22,94
136,22.23.22,94
137,22.23.22,96
138,22.23.22,96
139,22.23.22,96
140,22.23.22,93
141,22.23.22,95
142,22.23.22,96
143,22.23.22,96
144,22.23.22,97
145,22.23.22,95
146,22.23.22,95
147,22.23.22,94
148,22.23.22,96
149,22.23.22,95
150,22.23.22,93
151,22.23.22,97
152,22.23.22,97
153,22.23.22,97
154,22.23.22,96
155,22.23.22,94
156,22.23.22,96
157,22.23.22,97
158,22.23.22,96
159,22.23.22,97
160,22.23.22,97
161,22.23.22,97
162,22.23.22,95
163,22.23.22,98
164,22.23.22,95
165,22.23.22,96
166,22.23.22,93
167,22.23.22,98
168,22.23.22,95
169,22.23.22,94
170,22.23.22,95
171,22.23.22,96
172,22.23.22,96
173,22.23.22,95
174,22.23.22,97
175,22.23.22,96
176,22.23.22,93
177,22.23.22,97
178,22.23.22,93
179,22.23.22,96
180,22.23.22,97
181,22.23.22,98
182,22.23.22,98
183,22.23.22,95
184,22.23.22,95
185,22.23.22,97
186,22.23.22,96
187,22.23.22,96
188,22.23.22,96
189,22.23.22,93
190,22.23.22,93
191,22.23.22,97
192,22.23.22,98
193,22.23.22,96
194,22.23.22,97
195,22.23.22,95
196,22.23.22,94
197,22.23.22,95
198,22.23.22,97
199,22.23.22,96
200,22.23.22,95
201,22.23.22,93
202,22.23.22,91
203,22.23.22,98
204,22.23.22,95
205,22.23.22,93
206,22.23.22,95
207,22.23.22,92
208,22.23.22,95
209,22.23.22,97
210,22.23.22,95
211,22.23.22,97
212,22.23.22,97
