setting,PDR
22.28.25,17
22.28.26,20
22.28.27,22
22.28.28,20
22.28.29,18
22.28.30,23
22.28.31,14
22.28.127,1
22.29.15,17
22.29.14,1
22.29.16,17
22.29.18,63
22.29.113,1
22.29.114,1
22.29.3,1
22.29.20,26
22.29.21,17
22.29.22,19
22.30.22,1
22.29.23,14
22.29.24,22
22.125.24,1
22.29.30,1
16.29.30,1
22.29.25,20
22.29.26,12
22.30.5,2
22.126.5,1
22.30.6,18
22.110.6,1
22.24.102,1
22.30.7,19
118.30.7,1
23.30.7,1
22.30.8,20
22.126.8,2
22.30.9,21
118.30.9,1
22.30.10,16
22.30.11,17
22.30.12,25
22.30.13,13
22.30.109,1
22.30.14,21
22.30.15,18
22.30.16,19
22.30.18,32
22.126.18,1
22.31.0,2
22.31.1,16
22.31.2,21
22.31.3,15
22.31.4,21
22.31.5,23
22.31.101,1
22.31.6,21
6.31.6,1
22.127.6,1
22.31.7,15
22.31.8,19
23.9.29,4
23.105.30,1
23.9.30,16
23.9.31,9
119.9.31,1
23.105.31,1
23.11.22,19
23.11.24,1
23.11.11,8
23.107.11,1
23.11.12,27
23.11.13,27
23.2.13,1
23.11.14,21
119.11.14,1
23.11.15,32
23.11.16,21
23.11.18,83
22.11.18,1
22.107.18,1
23.11.20,24
23.11.21,23
23.11.23,1
23.12.1,5
23.12.2,16
23.13.11,1
23.108.2,1
23.12.3,22
23.12.4,16
23.12.5,15
23.12.6,27
23.12.7,21
23.12.8,24
23.12.9,20
23.12.10,18
23.108.11,1
23.12.11,22
23.12.12,24
23.12.13,24
23.13.0,1
23.13.1,19
23.13.2,16
23.109.2,1
23.13.3,21
23.13.4,15
